EFF_DATE,NAV_ID,NAV_TYPE,STATE_CODE,CITY,COUNTRY_CODE,NAME,STATE_NAME,REGION_CODE,LAT_HEMIS,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DECIMAL,LONG_HEMIS,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DECIMAL,ELEV,MAG_VARN,MAG_VARN_HEMIS,MAG_VARN_YEAR,ALT_CODE
2026-01-22,MOB,NDB,AL,MOBILE,US,WISLE,ALABAMA,ASO,N,30,45,38.2555,30.76062652,W,88,18,11.591,-88.30321972,210,1,W,2010,NA
2026-01-22,MOD,VOR/DME,CA,MODESTO,US,MODESTO,CALIFORNIA,AWP,N,37,37,38.548,37.62737444,W,120,57,28.3265,-120.95786847,93,17,E,1965,VH
2026-01-22,MOG,NDB,CA,MONTAGUE,US,MONTAGUE,CALIFORNIA,AWP,N,41,43,38.1753,41.72727091,W,122,28,54.0684,-122.48168566,2628.9,15,E,2010,NA
2026-01-22,MOL,VOR/DME,VA,MONTEBELLO,US,MONTEBELLO,VIRGINIA,AEA,N,37,54,1.889,37.90052472,W,79,6,24.801,-79.10688916,3455,5,W,1965,VL
2026-01-22,MON,DME,AR,MONTICELLO,US,MONTICELLO,ARKANSAS,ASW,N,33,33,43.1285,33.56198013,W,91,42,55.581,-91.71543916,208.3,NA,NA,NA,NA
2026-01-22,MOP,VOR/DME,MI,MOUNT PLEASANT,US,MOUNT PLEASANT,MICHIGAN,AGL,N,43,37,22.1739,43.62282608,W,84,44,14.155,-84.73726527,752,5,W,1995,L
2026-01-22,MOS,VOR/DME,AK,ELIM,US,MOSES POINT,ALASKA,AAL,N,64,41,47.4887,64.69652463,W,162,4,16.5645,-162.07126791,15.2,16,E,2005,L
2026-01-22,MOT,VOR/DME,ND,MINOT,US,MINOT,NORTH DAKOTA,AGL,N,48,15,37.2088,48.26033577,W,101,17,13.4559,-101.28707108,1699.2,13,E,1965,VH
2026-01-22,MOX,VOR/DME,MN,MORRIS,US,MORRIS,MINNESOTA,AGL,N,45,33,55.5024,45.56541733,W,95,58,9.598,-95.96933277,1129.7,5,E,1985,T
2026-01-22,MPV,VOR/DME,VT,BARRE/MONTPELIER,US,MONTPELIER,VERMONT,ANE,N,44,5,7.7171,44.08547697,W,72,26,57.7073,-72.44936313,2085.6,16,W,1985,VL
2026-01-22,MQG,VOR/DME,ID,LEWISTON,US,NEZ PERCE,IDAHO,ANM,N,46,22,53.6079,46.38155775,W,116,52,10.2369,-116.86951025,1734.2,20,E,1975,VL
2026-01-22,MQI,NDB,NC,MANTEO,US,MANTEO,NORTH CAROLINA,ASO,N,35,54,55.1497,35.91531936,W,75,41,42.1884,-75.69505233,7.4,9,W,1985,NA
2026-01-22,MQO,VORTAC,CA,SAN LUIS OBISPO,US,MORRO BAY,CALIFORNIA,AWP,N,35,15,8.1183,35.25225508,W,120,45,34.4394,-120.7595665,1463,16,E,1965,VL
2026-01-22,MQP,VORTAC,TX,MINERAL WELLS,US,MILLSAP,TEXAS,ASW,N,32,43,34.25,32.72618055,W,97,59,50.79,-97.99744166,900,9,E,1965,VH
